system:index,B11,B12,B2,B3,B4,B8,NDMI,NDVI,class,year,.geo
1_0000000000000000004b,0.01899999938905239,0.014800000004470348,0.03750000149011612,0.05220000073313713,0.030400000512599945,0.02449999935925007,0.12643678456225954,-0.10746814512061781,0,2024,"{""type"":""Point"",""coordinates"":[106.46960358414402,-6.3214089356091225]}"
1_0000000000000000004c,0.19009999930858612,0.18410000205039978,0.12280000001192093,0.13519999384880066,0.14180000126361847,0.1647000014781952,-0.07158962168564136,0.07471451879191984,0,2024,"{""type"":""Point"",""coordinates"":[106.56488565545405,-6.438255219613617]}"
1_0000000000000000004d,0.3549500107765198,0.22325000166893005,0.11289999634027481,0.14239999651908875,0.2003999948501587,0.2512499988079071,-0.1710656719383805,0.1125871906825395,0,2024,"{""type"":""Point"",""coordinates"":[106.45861635914834,-6.341871750343387]}"
1_0000000000000000004e,0.20804999768733978,0.18185000121593475,0.0674000009894371,0.08034999668598175,0.07680000364780426,0.17059999704360962,-0.09890400413273569,0.3791430603624114,0,2024,"{""type"":""Point"",""coordinates"":[106.76260219616384,-6.607134753810773]}"
1_0000000000000000004f,0.32249999046325684,0.27469998598098755,0.2531999945640564,0.27880001068115234,0.29660001397132874,0.30070000886917114,-0.034980715047236585,0.0068642135293158196,0,2024,"{""type"":""Point"",""coordinates"":[106.94301296568521,-6.514046560219037]}"
1_00000000000000000050,0.20329999923706055,0.15275000035762787,0.14830000698566437,0.14720000326633453,0.1216999962925911,0.263949990272522,0.1298020169013136,0.36885776983143603,0,2024,"{""type"":""Point"",""coordinates"":[106.71976361234339,-6.699402472808676]}"
1_00000000000000000051,0.2087000012397766,0.1264999955892563,0.07280000299215317,0.0966000035405159,0.07259999960660934,0.31189998984336853,0.19823278980254502,0.6223667016976376,0,2024,"{""type"":""Point"",""coordinates"":[106.77742870716654,-6.635967301222355]}"
1_00000000000000000052,0.29589998722076416,0.22310000658035278,0.19679999351501465,0.18299999833106995,0.17520000040531158,0.3156000077724457,0.032215896505281685,0.2860635799261931,0,2024,"{""type"":""Point"",""coordinates"":[106.506395626936,-6.688691712078298]}"
1_00000000000000000053,0.23479999601840973,0.21080000698566437,0.08910000324249268,0.10660000145435333,0.10480000078678131,0.19930000603199005,-0.08177836862184135,0.3107530520429291,0,2024,"{""type"":""Point"",""coordinates"":[106.86228094111256,-6.681276227026418]}"
1_00000000000000000054,0.23489999771118164,0.21514999866485596,0.08139999955892563,0.09745000302791595,0.09669999778270721,0.1774500012397766,-0.1393233821209193,0.29454679461971056,0,2024,"{""type"":""Point"",""coordinates"":[106.96607989543467,-6.395416635793163]}"
1_00000000000000000055,0.29420000314712524,0.29980000853538513,0.16040000319480896,0.1687999963760376,0.1736000031232834,0.2053000032901764,-0.17797797539789978,0.0836632347065775,0,2024,"{""type"":""Point"",""coordinates"":[106.87793238581015,-6.4934499724531705]}"
1_00000000000000000056,0.2554999887943268,0.2583000063896179,0.09700000286102295,0.11020000278949738,0.13680000603199005,0.19200000166893005,-0.1418994155947598,0.16788319447714395,0,2024,"{""type"":""Point"",""coordinates"":[106.85322004777197,-6.465442358736478]}"
1_00000000000000000057,0.23784999549388885,0.22075000405311584,0.08455000072717667,0.09594999998807907,0.11829999834299088,0.17624999582767487,-0.14875634136002516,0.19674078639128093,0,2024,"{""type"":""Point"",""coordinates"":[106.80461584628941,-6.459672281973318]}"
1_00000000000000000058,0.15854999423027039,0.11289999634027481,0.07150000333786011,0.08465000241994858,0.07649999856948853,0.2082500010728836,0.13549620359601425,0.46268657653683826,0,2024,"{""type"":""Point"",""coordinates"":[107.04022582775139,-6.458026873684597]}"
1_00000000000000000059,0.17184999585151672,0.10559999942779541,0.07519999891519547,0.08820000290870667,0.0734499990940094,0.21439999341964722,0.1101618090615883,0.4896647489714652,0,2024,"{""type"":""Point"",""coordinates"":[106.56241531347044,-6.352578051972708]}"
